total,race_percent_white,race_percent_black,race_percent_native,race_percent_asian,race_percent_pacific_islander,race_percent_hispanic,race_percent_other,income_percent_below_15K,income_percent_15K_35K,income_percent_35K_65K,income_percent_above_65K,male_percent,female_percent,disability_percent,male_disability_percent,female_disability_percent,district,year,is_midterm,lagged_turnout,lagged_percentage_turnout,ballots_cast,check_in_stations,voting_booths,cluster,7 AM,8 AM,9 AM,10 AM,11 AM,12 PM,1 PM,2 PM,3 PM,4 PM,5 PM,6 PM,7 PM
3587.021485747927,0.924896397976078,0.0030239731512135,0.0057204198242932,0.0106046473382511,0.0,0.0284363504820489,0.004876444495653,0.1466982692134702,0.2275555276140791,0.1742983243558101,0.3768448793130029,0.4721223409009434,0.5278776590990568,0.2092121285669275,0.0890346210705047,0.1201775074964228,ALEPPO,2026,1,1128,82.76,1127,1,3,0,297,35,39,39,33,31,38,85,91,95,77,104,80
2819.197462724564,0.7411353962700921,0.0651312235381154,1.319492291627006e-07,0.1828260562069645,0.0,0.004830228083614,0.0025413215255476,0.0566775355543828,0.0668342595523561,0.254475718183966,0.5118674556803584,0.4175523515828501,0.5803134002836775,0.1000198511016504,0.0159765860585658,0.0840432650430845,ASPINWALL DIST 1,2026,1,730,85.38,629,1,3,5,193,22,23,21,19,22,20,62,57,60,51,52,44
2830.09579905828,0.7430081279629509,0.0653884632354698,0.0,0.1824873266447833,0.0,0.0049578226324387,0.0025053002508429,0.0575402329317362,0.0677887330769482,0.2547281168995945,0.5122047640360171,0.4191503421345478,0.5808496578654524,0.1002899765472936,0.0161639588190841,0.0841260177282095,ASPINWALL DIST 2,2026,1,472,81.1,427,1,3,5,141,14,12,16,14,14,12,28,39,34,40,33,38
2831.447922784413,0.7430351280289905,0.0654026591299348,0.0,0.1823510338843435,0.0,0.0049801578337724,0.0024937892039115,0.0576713930303831,0.0679450108091337,0.2546716041216292,0.5120325694479133,0.4192548982629845,0.5807079088857712,0.1003062465489859,0.0161921352644301,0.0841141112845558,ASPINWALL DIST 3,2026,1,698,84.4,618,1,3,5,157,20,20,20,20,22,21,55,53,45,53,50,46
2203.9835735318647,0.7133382516510384,0.2297009278630439,0.0026990112417131,0.0037477722097483,0.0,0.026200368624529,0.0092955649888994,0.1781682226443001,0.2974482754866762,0.2840301126669112,0.1871916541270645,0.6052591215336043,0.3947408784663955,0.234993680186911,0.1515557041132198,0.0834379760736911,AVALON WARD 1,2026,1,849,76.14,707,1,3,2,196,22,20,19,19,22,21,64,48,54,61,59,57
2098.26093734972,0.7078084694910698,0.2817625341654359,0.0033246028704022,0.0,0.0,0.0363041564350756,0.0120044282182311,0.2197907194571402,0.2286154405517484,0.3076657984275071,0.1762004235987956,0.6261650759429216,0.3738349240570783,0.2093087630097267,0.1454864781035082,0.0638222849062183,AVALON WARD 2 DIST 1,2026,1,554,77.81,456,1,3,2,130,16,16,13,15,13,13,30,33,41,33,32,31
2098.2270893216864,0.7078065620288283,0.2818190344496576,0.0033245480293519,0.0,0.0,0.0363136868898321,0.0120077977712564,0.2198227922245599,0.2285336151047224,0.3077055853103207,0.1762003128544549,0.6261748749046802,0.3738251250953198,0.2092652022462368,0.1454663203892381,0.0637988818569987,AVALON WARD 2 DIST 2,2026,1,369,78.18,304,1,3,2,94,8,11,10,9,9,8,22,22,27,23,24,20
2458.8102355962524,0.7294143591072835,0.1319084047953765,0.0011830206934773,0.0509015741894902,0.0,0.0067560253861692,0.0010288904863664,0.1092279164450829,0.4220019390207545,0.2314899132067734,0.2125719098913507,0.556644523671817,0.4433554763281833,0.295783570955816,0.1659903991710288,0.129793171784787,AVALON WARD 3 DIST 1,2026,1,281,83.88,233,1,3,3,75,7,8,7,6,7,6,16,16,23,15,22,16
2457.475836746848,0.7291373145981915,0.1320979459079964,0.001177546858486,0.0509551138218354,0.0,0.0067286853469344,0.0010196403133235,0.1092027957855639,0.422302151331069,0.2315553581787684,0.2123056196520092,0.5567488340417072,0.4432511659582925,0.2959356920751192,0.1661083424448783,0.1298273496302409,AVALON WARD 3 DIST 2,2026,1,356,77.56,288,1,3,3,88,7,11,9,10,7,11,22,22,23,22,20,22
2458.277186402052,0.7290690927249911,0.1322801611528746,0.0011679579986309,0.0508672552008857,0.0,0.0067250070635292,0.0010418941718972,0.1090064581223978,0.4221502477585157,0.231901282121473,0.2123864272409544,0.5566951836463991,0.4433048163536008,0.2956042654878131,0.1658974015371307,0.1297068639506822,AVALON WARD 3 DIST 3,2026,1,377,72.92,302,1,3,3,108,9,9,8,10,11,8,28,28,22,21,22,27
3800.8712719453406,0.8419530605187843,0.0503393840242186,5.951748717029214e-06,0.0333464216430764,0.0016407303005477,0.0009538292007066,0.0058195400170857,0.1666320716619721,0.2759493266912267,0.1649260704522788,0.2679025520519373,0.5276284440026602,0.4723715559973396,0.1523319315037043,0.0540228170104343,0.0983091144932699,BALDWIN BR DIST 1,2026,1,505,82.38,460,1,3,3,121,16,15,14,12,12,16,31,40,30,35,33,38
5583.473327803261,0.5366140385953941,0.0638153341932834,9.22547863878972e-06,0.3245690407455658,0.0,0.0009827379697933,0.0259459138249822,0.1794506244218703,0.2636119147422723,0.2943936907027787,0.1581589564300596,0.5621742892223157,0.4378257107776847,0.1697504697543474,0.0935780883431624,0.0761723814111848,BALDWIN BR DIST 10,2026,1,637,61.9,492,1,3,2,148,17,16,13,19,13,19,33,43,48,46,39,41
5574.331772436271,0.5381702922162473,0.0637552608392433,3.848507593998679e-05,0.3229638197854421,0.0,0.0009858887879326,0.0257530652432491,0.1790363862648165,0.2631785382517727,0.2940150258393874,0.1594302589248739,0.5616812411439092,0.4383187588560912,0.1698465525470449,0.0935828912579705,0.0762636612890743,BALDWIN BR DIST 11,2026,1,826,63.15,713,1,3,2,225,22,25,20,27,22,28,62,53,57,67,64,67
