Precinct,Registered Voters,Ballots Cast,Voter Turnout
ALEPPO,1373,1036,75.46 %
ASPINWALL DIST 1,864,636,73.61 %
ASPINWALL DIST 2,595,433,72.77 %
ASPINWALL DIST 3,864,657,76.04 %
AVALON WARD 1,1102,723,65.61 %
AVALON WARD 2 DIST 1,707,509,71.99 %
AVALON WARD 2 DIST 2,474,336,70.89 %
AVALON WARD 3 DIST 1,330,251,76.06 %
AVALON WARD 3 DIST 2,490,339,69.18 %
AVALON WARD 3 DIST 3,481,336,69.85 %
BALDWIN BR DIST 1,568,428,75.35 %
BALDWIN BR DIST 2,994,792,79.68 %
BALDWIN BR DIST 3,802,607,75.69 %
BALDWIN BR DIST 4,756,583,77.12 %
BALDWIN BR DIST 5,782,583,74.55 %
BALDWIN BR DIST 6,749,576,76.90 %
BALDWIN BR DIST 7,803,592,73.72 %
BALDWIN BR DIST 8,705,558,79.15 %
BALDWIN BR DIST 9,750,576,76.80 %
BALDWIN BR DIST 10,1012,614,60.67 %
BALDWIN BR DIST 11,1083,680,62.79 %
BALDWIN BR DIST 12,621,473,76.17 %
BALDWIN BR DIST 13,674,554,82.20 %
BALDWIN BR DIST 14,591,460,77.83 %
BALDWIN BR DIST 15,770,588,76.36 %
BALDWIN BR DIST 16,883,661,74.86 %
BALDWIN BR DIST 17,680,525,77.21 %
BALDWIN BR DIST 18,924,734,79.44 %
BALDWIN TP DIST 1,765,641,83.79 %
BALDWIN TP DIST 2,709,553,78.00 %
BELL ACRES,1123,876,78.01 %
BELLEVUE WARD 1 DIST 1,1020,657,64.41 %
BELLEVUE WARD 1 DIST 2,963,638,66.25 %
BELLEVUE WARD 2 DIST 1,1133,738,65.14 %
BELLEVUE WARD 2 DIST 2,967,657,67.94 %
BELLEVUE WARD 3 DIST 1,1014,674,66.47 %
BELLEVUE WARD 3 DIST 2,926,655,70.73 %
BEN AVON DIST 1,473,403,85.20 %
BEN AVON DIST 2,949,744,78.40 %
BEN AVON HT,314,265,84.39 %
BETHEL PARK WARD 1 DIST 1,875,687,78.51 %
BETHEL PARK WARD 1 DIST 2,820,614,74.88 %
BETHEL PARK WARD 1 DIST 3,820,616,75.12 %
BETHEL PARK WARD 2 DIST 1,734,610,83.11 %
BETHEL PARK WARD 2 DIST 2,908,742,81.72 %
BETHEL PARK WARD 2 DIST 3,1113,843,75.74 %
BETHEL PARK WARD 3 DIST 1,792,667,84.22 %
BETHEL PARK WARD 3 DIST 2,927,736,79.40 %
BETHEL PARK WARD 3 DIST 3,1061,853,80.40 %
BETHEL PARK WARD 4 DIST 1,1300,1021,78.54 %
BETHEL PARK WARD 4 DIST 2,806,584,72.46 %
BETHEL PARK WARD 4 DIST 3,869,669,76.99 %
BETHEL PARK WARD 5 DIST 1,603,494,81.92 %
BETHEL PARK WARD 5 DIST 2,644,465,72.20 %
BETHEL PARK WARD 5 DIST 3,1478,1078,72.94 %
BETHEL PARK WARD 6 DIST 1,1283,992,77.32 %
BETHEL PARK WARD 6 DIST 2,963,775,80.48 %
BETHEL PARK WARD 6 DIST 3,767,625,81.49 %
BETHEL PARK WARD 7 DIST 1,1139,934,82.00 %
BETHEL PARK WARD 7 DIST 2,968,744,76.86 %
BETHEL PARK WARD 7 DIST 3,748,592,79.14 %
BETHEL PARK WARD 8 DIST 1,499,401,80.36 %
BETHEL PARK WARD 8 DIST 2,547,386,70.57 %
BETHEL PARK WARD 8 DIST 3,1230,982,79.84 %
BETHEL PARK WARD 8 DIST 4,463,350,75.59 %
BETHEL PARK WARD 9 DIST 1,567,471,83.07 %
BETHEL PARK WARD 9 DIST 2,699,524,74.96 %
