County,Registered Voters,Ballots Cast,Voter Turnout
ALEPPO,1374,891,64.85 %
ASPINWALL DIST 1,886,593,66.93 %
ASPINWALL DIST 2,593,392,66.10 %
ASPINWALL DIST 3,866,583,67.32 %
AVALON WARD 1,1097,591,53.87 %
AVALON WARD 2 DIST 1,718,419,58.36 %
AVALON WARD 2 DIST 2,470,278,59.15 %
AVALON WARD 3 DIST 1,321,199,61.99 %
AVALON WARD 3 DIST 2,502,287,57.17 %
AVALON WARD 3 DIST 3,512,295,57.62 %
BALDWIN BR DIST 1,600,352,58.67 %
BALDWIN BR DIST 2,1007,660,65.54 %
BALDWIN BR DIST 3,804,488,60.70 %
BALDWIN BR DIST 4,770,452,58.70 %
BALDWIN BR DIST 5,794,482,60.71 %
BALDWIN BR DIST 6,766,438,57.18 %
BALDWIN BR DIST 7,803,489,60.90 %
BALDWIN BR DIST 8,706,447,63.31 %
BALDWIN BR DIST 9,743,473,63.66 %
BALDWIN BR DIST 10,1029,357,34.69 %
BALDWIN BR DIST 11,1156,501,43.34 %
BALDWIN BR DIST 12,624,396,63.46 %
BALDWIN BR DIST 13,675,439,65.04 %
BALDWIN BR DIST 14,589,384,65.20 %
BALDWIN BR DIST 15,790,499,63.16 %
BALDWIN BR DIST 16,891,533,59.82 %
BALDWIN BR DIST 17,691,450,65.12 %
BALDWIN BR DIST 18,925,577,62.38 %
BALDWIN TP DIST 1,777,560,72.07 %
BALDWIN TP DIST 2,720,438,60.83 %
BELL ACRES,1152,763,66.23 %
BELLEVUE WARD 1 DIST 1,1039,546,52.55 %
BELLEVUE WARD 1 DIST 2,977,546,55.89 %
BELLEVUE WARD 2 DIST 1,1132,535,47.26 %
BELLEVUE WARD 2 DIST 2,1015,557,54.88 %
BELLEVUE WARD 3 DIST 1,1020,562,55.10 %
BELLEVUE WARD 3 DIST 2,958,536,55.95 %
BEN AVON DIST 1,483,368,76.19 %
BEN AVON DIST 2,975,687,70.46 %
BEN AVON HT,326,250,76.69 %
BETHEL PARK WARD 1 DIST 1,876,559,63.81 %
BETHEL PARK WARD 1 DIST 2,826,505,61.14 %
BETHEL PARK WARD 1 DIST 3,829,528,63.69 %
BETHEL PARK WARD 2 DIST 1,729,521,71.47 %
BETHEL PARK WARD 2 DIST 2,907,616,67.92 %
BETHEL PARK WARD 2 DIST 3,1132,708,62.54 %
BETHEL PARK WARD 3 DIST 1,798,580,72.68 %
BETHEL PARK WARD 3 DIST 2,952,632,66.39 %
BETHEL PARK WARD 3 DIST 3,1079,756,70.06 %
BETHEL PARK WARD 4 DIST 1,1299,854,65.74 %
BETHEL PARK WARD 4 DIST 2,787,494,62.77 %
BETHEL PARK WARD 4 DIST 3,884,566,64.03 %
BETHEL PARK WARD 5 DIST 1,616,424,68.83 %
BETHEL PARK WARD 5 DIST 2,677,421,62.19 %
BETHEL PARK WARD 5 DIST 3,1482,912,61.54 %
BETHEL PARK WARD 6 DIST 1,1287,842,65.42 %
BETHEL PARK WARD 6 DIST 2,970,655,67.53 %
BETHEL PARK WARD 6 DIST 3,842,577,68.53 %
BETHEL PARK WARD 7 DIST 1,1166,810,69.47 %
BETHEL PARK WARD 7 DIST 2,1108,732,66.06 %
BETHEL PARK WARD 7 DIST 3,766,504,65.80 %
BETHEL PARK WARD 8 DIST 1,515,350,67.96 %
BETHEL PARK WARD 8 DIST 2,549,312,56.83 %
BETHEL PARK WARD 8 DIST 3,1234,852,69.04 %
BETHEL PARK WARD 8 DIST 4,451,292,64.75 %
BETHEL PARK WARD 9 DIST 1,567,399,70.37 %
BETHEL PARK WARD 9 DIST 2,736,450,61.14 %
BETHEL PARK WARD 9 DIST 3,1397,919,65.78 %
BLAWNOX,1074,609,56.70 %
BRACKENRIDGE WARD 1,490,236,48.16 %
BRACKENRIDGE WARD 2,791,426,53.86 %
BRACKENRIDGE WARD 3,657,329,50.08 %
BRADDOCK WARD 1,546,255,46.70 %
BRADDOCK WARD 2,587,274,46.68 %
BRADDOCK WARD 3,462,170,36.80 %
BRADDOCK HL DIST 1,822,400,48.66 %
BRADDOCK HL DIST 2,546,356,65.20 %
BRADFORD WOODS,1025,760,74.15 %
BRENTWOOD DIST 1,551,348,63.16 %
BRENTWOOD DIST 2,758,424,55.94 %
BRENTWOOD DIST 3,576,334,57.99 %
BRENTWOOD DIST 4,784,438,55.87 %
BRENTWOOD DIST 5,734,369,50.27 %
BRENTWOOD DIST 6,695,332,47.77 %
BRENTWOOD DIST 7,755,395,52.32 %
BRENTWOOD DIST 8,701,448,63.91 %
BRENTWOOD DIST 9,602,339,56.31 %
BRENTWOOD DIST 10,567,307,54.14 %
BRIDGEVILLE DIST 1,824,484,58.74 %
BRIDGEVILLE DIST 2,864,472,54.63 %
BRIDGEVILLE DIST 3,864,519,60.07 %
BRIDGEVILLE DIST 4,986,600,60.85 %
CARNEGIE WARD 1 DIST 1,530,261,49.25 %
CARNEGIE WARD 1 DIST 2,1230,691,56.18 %
CARNEGIE WARD 1 DIST 3,861,520,60.39 %
CARNEGIE WARD 1 DIST 4,393,177,45.04 %
CARNEGIE WARD 2 DIST 1,663,360,54.30 %
CARNEGIE WARD 2 DIST 2,528,307,58.14 %
CARNEGIE WARD 2 DIST 3,486,331,68.11 %
CARNEGIE WARD 2 DIST 4,954,448,46.96 %
CASL SHANNON DIST 1,1110,585,52.70 %
CASL SHANNON DIST 2,863,526,60.95 %
CASL SHANNON DIST 3,837,487,58.18 %
CASL SHANNON DIST 4,660,409,61.97 %
CASL SHANNON DIST 5,635,431,67.87 %
CASL SHANNON DIST 6,652,415,63.65 %
CASL SHANNON DIST 7,760,498,65.53 %
CASL SHANNON DIST 8,559,394,70.48 %
CHALFANT DIST 1,582,327,56.19 %
CHESWICK DIST 1,618,425,68.77 %
CHESWICK DIST 2,643,429,66.72 %
CHURCHILL DIST 1,702,527,75.07 %
CHURCHILL DIST 2,719,487,67.73 %
CHURCHILL DIST 3,667,487,73.01 %
CHURCHILL DIST 4,690,481,69.71 %
CLAIRTON WARD 1 DIST 1,386,149,38.60 %
CLAIRTON WARD 1 DIST 2,401,191,47.63 %
CLAIRTON WARD 1 DIST 3,340,154,45.29 %
CLAIRTON WARD 2 DIST 1,138,56,40.58 %
CLAIRTON WARD 2 DIST 2,326,146,44.79 %
CLAIRTON WARD 2 DIST 3,469,185,39.45 %
CLAIRTON WARD 3 DIST 1,458,213,46.51 %
CLAIRTON WARD 3 DIST 2,396,168,42.42 %
CLAIRTON WARD 3 DIST 3,419,137,32.70 %
CLAIRTON WARD 4 DIST 1,400,173,43.25 %
CLAIRTON WARD 4 DIST 2,382,167,43.72 %
CLAIRTON WARD 4 DIST 3,434,228,52.53 %
COLLIER DIST 1,1216,817,67.19 %
COLLIER DIST 2,1273,852,66.93 %
COLLIER DIST 3,1242,830,66.83 %
COLLIER DIST 4,785,512,65.22 %
COLLIER DIST 5,989,664,67.14 %
COLLIER DIST 6,1135,628,55.33 %
CORAOPOLIS WARD 1 DIST 1,456,247,54.17 %
CORAOPOLIS WARD 1 DIST 2,524,312,59.54 %
CORAOPOLIS WARD 2,827,374,45.22 %
CORAOPOLIS WARD 3 DIST 1,598,332,55.52 %
CORAOPOLIS WARD 3 DIST 2,613,320,52.20 %
CORAOPOLIS WARD 4 DIST 1,457,272,59.52 %
CORAOPOLIS WARD 4 DIST 2,538,306,56.88 %
CRAFTON WARD 1 DIST 1,911,565,62.02 %
CRAFTON WARD 1 DIST 2,625,371,59.36 %
CRAFTON WARD 2 DIST 1,602,387,64.29 %
CRAFTON WARD 2 DIST 2,799,469,58.70 %
CRAFTON WARD 3 DIST 1,1003,634,63.21 %
CRAFTON WARD 3 DIST 2,598,363,60.70 %
CRESCENT WARD 1,1137,673,59.19 %
CRESCENT WARD 2,674,406,60.24 %
DORMONT DIST 1,733,446,60.85 %
DORMONT DIST 2,550,371,67.45 %
DORMONT DIST 3,950,529,55.68 %
DORMONT DIST 4,664,421,63.40 %
DORMONT DIST 5,1085,644,59.35 %
DORMONT DIST 6,548,354,64.60 %
