County,Registered Voters,Election Day,Absentee,Provisional,Ballots Cast,Voter Turnout
Aleppo,1379,633,341,13,987,71.57 %
Aspinwall Dist 1,864,488,127,5,620,71.76 %
Aspinwall Dist 2,574,290,95,4,389,67.77 %
Aspinwall Dist 3,852,462,140,6,608,71.36 %
Avalon Ward 1,1094,454,150,11,615,56.22 %
Avalon Ward 2 Dist 1,697,299,92,7,398,57.10 %
Avalon Ward 2 Dist 2,460,193,78,5,276,60.00 %
Avalon Ward 3 Dist 1,327,140,57,0,197,60.24 %
Avalon Ward 3 Dist 2,438,166,98,3,267,60.96 %
Avalon Ward 3 Dist 3,495,202,103,6,311,62.83 %
Baldwin Br Dist 1,613,286,117,2,405,66.07 %
Baldwin Br Dist 2,1014,505,214,10,729,71.89 %
Baldwin Br Dist 3,847,417,132,10,559,66.00 %
Baldwin Br Dist 4,770,387,117,4,508,65.97 %
Baldwin Br Dist 5,811,369,136,6,511,63.01 %
Baldwin Br Dist 6,747,363,125,8,496,66.40 %
Baldwin Br Dist 7,811,398,144,5,547,67.45 %
Baldwin Br Dist 8,732,368,145,3,516,70.49 %
Baldwin Br Dist 9,768,335,160,9,504,65.63 %
Baldwin Br Dist 10,1057,254,118,20,392,37.09 %
Baldwin Br Dist 11,1296,386,184,13,583,44.98 %
Baldwin Br Dist 12,635,322,108,4,434,68.35 %
Baldwin Br Dist 13,687,366,120,6,492,71.62 %
Baldwin Br Dist 14,615,329,88,6,423,68.78 %
Baldwin Br Dist 15,787,373,178,1,552,70.14 %
Baldwin Br Dist 16,908,445,134,5,584,64.32 %
Baldwin Br Dist 17,656,312,124,6,442,67.38 %
Baldwin Br Dist 18,932,411,194,6,611,65.56 %
Baldwin Tp Dist 1,803,450,133,2,585,72.85 %
Baldwin Tp Dist 2,735,369,117,4,490,66.67 %
Bell Acres,1203,639,200,6,845,70.24 %
Bellevue Ward 1 Dist 1,987,373,148,13,534,54.10 %
Bellevue Ward 1 Dist 2,941,417,152,6,575,61.11 %
Bellevue Ward 2 Dist 1,1111,446,155,7,608,54.73 %
Bellevue Ward 2 Dist 2,993,416,138,5,559,56.29 %
Bellevue Ward 3 Dist 1,1007,407,152,12,571,56.70 %
Bellevue Ward 3 Dist 2,962,432,143,11,586,60.91 %
Ben Avon Dist 1,478,280,85,1,366,76.57 %
Ben Avon Dist 2,998,549,171,6,726,72.75 %
Ben Avon Ht,340,220,42,2,264,77.65 %
Bethel Park Ward 1 Dist 1,859,414,161,12,587,68.34 %
Bethel Park Ward 1 Dist 2,772,403,128,5,536,69.43 %
Bethel Park Ward 1 Dist 3,824,428,153,14,595,72.21 %
Bethel Park Ward 2 Dist 1,728,405,122,2,529,72.66 %
Bethel Park Ward 2 Dist 2,943,504,170,6,680,72.11 %
Bethel Park Ward 2 Dist 3,1099,572,206,5,783,71.25 %
Bethel Park Ward 3 Dist 1,799,460,136,7,603,75.47 %
Bethel Park Ward 3 Dist 2,1103,527,267,16,810,73.44 %
Bethel Park Ward 3 Dist 3,1085,570,220,9,799,73.64 %
Bethel Park Ward 4 Dist 1,1317,684,251,10,945,71.75 %
Bethel Park Ward 4 Dist 2,801,420,167,2,589,73.53 %
Bethel Park Ward 4 Dist 3,883,442,151,7,600,67.95 %
Bethel Park Ward 5 Dist 1,694,357,115,4,476,68.59 %
Bethel Park Ward 5 Dist 2,636,326,93,4,423,66.51 %
Bethel Park Ward 5 Dist 3,1513,607,384,10,1001,66.16 %
Bethel Park Ward 6 Dist 1,1310,670,214,13,897,68.47 %
Bethel Park Ward 6 Dist 2,954,514,167,7,688,72.12 %
Bethel Park Ward 6 Dist 3,885,445,199,7,651,73.56 %
Bethel Park Ward 7 Dist 1,1182,667,198,8,873,73.86 %
Bethel Park Ward 7 Dist 2,1244,568,257,11,836,67.20 %
Bethel Park Ward 7 Dist 3,754,394,141,7,542,71.88 %
Bethel Park Ward 8 Dist 1,569,293,108,2,403,70.83 %
Bethel Park Ward 8 Dist 2,537,160,135,2,297,55.31 %
Bethel Park Ward 8 Dist 3,1317,677,251,5,933,70.84 %
Bethel Park Ward 8 Dist 4,467,258,77,2,337,72.16 %
Bethel Park Ward 9 Dist 1,587,330,97,2,429,73.08 %
Bethel Park Ward 9 Dist 2,710,334,118,7,459,64.65 %
Bethel Park Ward 9 Dist 3,1397,716,280,6,1002,71.73 %
Blawnox,1011,430,171,15,616,60.93 %
Brackenridge Ward 1,491,220,46,0,266,54.18 %
Brackenridge Ward 2,763,357,106,4,467,61.21 %
Brackenridge Ward 3,667,299,59,2,360,53.97 %
Braddock Ward 1,470,142,51,6,199,42.34 %
Braddock Ward 2,607,185,80,6,271,44.65 %
Braddock Ward 3,432,127,29,3,159,36.81 %
Braddock Hl Dist 1,780,257,154,11,422,54.10 %
Braddock Hl Dist 2,520,258,96,7,361,69.42 %
Bradford Woods,1015,571,169,6,746,73.50 %
Brentwood Dist 1,539,277,84,3,364,67.53 %
Brentwood Dist 2,742,332,94,9,435,58.63 %
Brentwood Dist 3,623,299,81,1,381,61.16 %
Brentwood Dist 4,798,349,133,6,488,61.15 %
Brentwood Dist 5,724,284,98,6,388,53.59 %
Brentwood Dist 6,690,241,103,5,349,50.58 %
Brentwood Dist 7,766,335,100,13,448,58.49 %
Brentwood Dist 8,727,351,141,10,502,69.05 %
Brentwood Dist 9,610,288,123,2,413,67.70 %
Brentwood Dist 10,537,244,77,5,326,60.71 %
Bridgeville Dist 1,789,366,91,6,463,58.68 %
Bridgeville Dist 2,864,388,101,12,501,57.99 %
Bridgeville Dist 3,861,435,127,6,568,65.97 %
Bridgeville Dist 4,983,465,183,7,655,66.63 %
Carnegie Ward 1 Dist 1,551,227,72,6,305,55.35 %
Carnegie Ward 1 Dist 2,1200,566,165,9,740,61.67 %
Carnegie Ward 1 Dist 3,882,426,123,7,556,63.04 %
Carnegie Ward 1 Dist 4,389,125,57,3,185,47.56 %
Carnegie Ward 2 Dist 1,655,286,81,8,375,57.25 %
Carnegie Ward 2 Dist 2,506,218,78,10,306,60.47 %
Carnegie Ward 2 Dist 3,507,253,110,2,365,71.99 %
Carnegie Ward 2 Dist 4,888,344,116,5,465,52.36 %
Casl Shannon Dist 1,1090,384,182,12,578,53.03 %
Casl Shannon Dist 2,806,418,119,7,544,67.49 %
Casl Shannon Dist 3,854,410,127,8,545,63.82 %
Casl Shannon Dist 4,661,288,116,6,410,62.03 %
Casl Shannon Dist 5,775,374,144,9,527,68.00 %
Casl Shannon Dist 6,644,314,118,13,445,69.10 %
Casl Shannon Dist 7,762,362,148,12,522,68.50 %
Casl Shannon Dist 8,546,282,96,4,382,69.96 %
Chalfant Dist 1,596,258,91,7,356,59.73 %
Cheswick Dist 1,619,341,94,1,436,70.44 %
Cheswick Dist 2,656,377,104,6,487,74.24 %
Churchill Dist 1,720,354,184,2,540,75.00 %
Churchill Dist 2,720,344,176,7,527,73.19 %
Churchill Dist 3,653,322,164,7,493,75.50 %
Churchill Dist 4,723,338,170,4,512,70.82 %
Clairton Ward 1 Dist 1,351,121,28,4,153,43.59 %
Clairton Ward 1 Dist 2,394,155,39,1,195,49.49 %
Clairton Ward 1 Dist 3,327,135,20,7,162,49.54 %
Clairton Ward 2 Dist 1,111,37,5,0,42,37.84 %
Clairton Ward 2 Dist 2,292,87,42,2,131,44.86 %
Clairton Ward 2 Dist 3,433,106,44,0,150,34.64 %
Clairton Ward 3 Dist 1,427,162,54,1,217,50.82 %
Clairton Ward 3 Dist 2,354,117,47,1,165,46.61 %
Clairton Ward 3 Dist 3,370,85,34,0,119,32.16 %
Clairton Ward 4 Dist 1,366,121,35,0,156,42.62 %
Clairton Ward 4 Dist 2,335,109,25,2,136,40.60 %
Clairton Ward 4 Dist 3,439,180,52,2,234,53.30 %
Collier Dist 1,1477,753,294,7,1054,71.36 %
Collier Dist 2,1374,773,235,1,1009,73.44 %
Collier Dist 3,1280,588,299,9,896,70.00 %
Collier Dist 4,759,366,137,5,508,66.93 %
Collier Dist 5,992,511,209,10,730,73.59 %
Collier Dist 6,1143,504,187,9,700,61.24 %
