Precinct,Registered Voters,Election Day,Absentee,Provisional,Ballots Cast,Voter Turnout
Aleppo,1363,671,441,16,1128,82.76%
Aspinwall Dist 1,855,554,167,9,730,85.38%
Aspinwall Dist 2,582,346,117,9,472,81.10%
Aspinwall Dist 3,827,507,179,12,698,84.40%
Avalon Ward 1,1115,616,211,22,849,76.14%
Avalon Ward 2 Dist 1,712,406,138,10,554,77.81%
Avalon Ward 2 Dist 2,472,242,118,9,369,78.18%
Avalon Ward 3 Dist 1,335,188,92,1,281,83.88%
Avalon Ward 3 Dist 2,459,215,135,6,356,77.56%
Avalon Ward 3 Dist 3,517,243,129,5,377,72.92%
Baldwin Br Dist 1,613,339,163,3,505,82.38%
Baldwin Br Dist 2,1041,575,305,1,881,84.63%
Baldwin Br Dist 3,857,517,189,7,713,83.20%
Baldwin Br Dist 4,798,474,188,9,671,84.09%
Baldwin Br Dist 5,840,484,195,11,690,82.14%
Baldwin Br Dist 6,743,411,195,10,616,82.91%
Baldwin Br Dist 7,833,479,220,6,705,84.63%
Baldwin Br Dist 8,729,415,211,5,631,86.56%
Baldwin Br Dist 9,776,412,212,12,636,81.96%
Baldwin Br Dist 10,1029,422,194,21,637,61.90%
Baldwin Br Dist 11,1308,525,265,36,826,63.15%
Baldwin Br Dist 12,660,408,153,4,565,85.61%
Baldwin Br Dist 13,685,446,153,6,605,88.32%
Baldwin Br Dist 14,614,372,142,6,520,84.69%
Baldwin Br Dist 15,806,481,218,6,705,87.47%
Baldwin Br Dist 16,916,532,204,5,741,80.90%
Baldwin Br Dist 17,678,365,189,10,564,83.19%
Baldwin Br Dist 18,972,530,276,14,820,84.36%
Baldwin Tp Dist 1,809,522,172,2,696,86.03%
Baldwin Tp Dist 2,762,466,154,5,625,82.02%
Bell Acres,1188,690,297,4,991,83.42%
Bellevue Ward 1 Dist 1,973,483,222,12,717,73.69%
Bellevue Ward 1 Dist 2,984,526,207,10,743,75.51%
Bellevue Ward 2 Dist 1,1092,560,215,13,788,72.16%
Bellevue Ward 2 Dist 2,989,519,204,15,738,74.62%
Bellevue Ward 3 Dist 1,1048,547,229,10,786,75.00%
Bellevue Ward 3 Dist 2,981,544,201,16,761,77.57%
Ben Avon Dist 1,496,321,107,0,428,86.29%
Ben Avon Dist 2,994,613,221,7,841,84.61%
Ben Avon Ht,341,208,89,1,298,87.39%
Bethel Park Ward 1 Dist 1,869,459,256,4,719,82.74%
Bethel Park Ward 1 Dist 2,801,451,217,4,672,83.90%
Bethel Park Ward 1 Dist 3,840,469,232,6,707,84.17%
Bethel Park Ward 2 Dist 1,748,450,185,1,636,85.03%
Bethel Park Ward 2 Dist 2,939,520,275,13,808,86.05%
Bethel Park Ward 2 Dist 3,1099,604,332,4,940,85.53%
Bethel Park Ward 3 Dist 1,791,464,216,6,686,86.73%
Bethel Park Ward 3 Dist 2,1100,582,369,10,961,87.36%
Bethel Park Ward 3 Dist 3,1055,589,327,10,926,87.77%
Bethel Park Ward 4 Dist 1,1351,745,415,10,1170,86.60%
Bethel Park Ward 4 Dist 2,808,418,258,11,687,85.02%
Bethel Park Ward 4 Dist 3,878,461,258,8,727,82.80%
Bethel Park Ward 5 Dist 1,712,393,194,3,590,82.87%
Bethel Park Ward 5 Dist 2,653,387,145,5,537,82.24%
Bethel Park Ward 5 Dist 3,1481,646,535,8,1189,80.28%
Bethel Park Ward 6 Dist 1,1285,711,383,8,1102,85.76%
Bethel Park Ward 6 Dist 2,945,545,271,5,821,86.88%
Bethel Park Ward 6 Dist 3,908,471,273,9,753,82.93%
Bethel Park Ward 7 Dist 1,1182,684,329,10,1023,86.55%
Bethel Park Ward 7 Dist 2,1286,624,400,11,1035,80.48%
Bethel Park Ward 7 Dist 3,760,413,232,4,649,85.39%
Bethel Park Ward 8 Dist 1,556,321,149,0,470,84.53%
Bethel Park Ward 8 Dist 2,526,223,166,5,394,74.90%
Bethel Park Ward 8 Dist 3,1322,742,388,4,1134,85.78%
Bethel Park Ward 8 Dist 4,468,267,132,5,404,86.32%
Bethel Park Ward 9 Dist 1,594,365,140,8,513,86.36%
Bethel Park Ward 9 Dist 2,750,422,188,4,614,81.87%
Bethel Park Ward 9 Dist 3,1398,740,443,8,1191,85.19%
Blawnox,1010,549,225,17,791,78.32%
Brackenridge Ward 1,481,266,60,5,331,68.81%
Brackenridge Ward 2,800,469,161,3,633,79.13%
Brackenridge Ward 3,683,382,97,5,484,70.86%
Braddock Ward 1,440,168,58,15,241,54.77%
Braddock Ward 2,607,256,89,10,355,58.48%
Braddock Ward 3,461,176,41,3,220,47.72%
Braddock Hl Dist 1,798,343,178,11,532,66.67%
Braddock Hl Dist 2,525,312,118,9,439,83.62%
Bradford Woods,1021,564,303,6,873,85.50%
Brentwood Dist 1,547,342,110,3,455,83.18%
