tract,race_percent_white,race_percent_black,race_percent_native,race_percent_asian,race_percent_pacific_islander,race_percent_hispanic,race_percent_other,income_percent_below_15K,income_percent_15K_35K,income_percent_35K_65K,income_percent_above_65K,year
"Census Tract 1005, Allegheny County, Pennsylvania",28.6,65.7,0.0,0.0,0.0,0.0,0.0,36.900000000000006,29.6,20.2,4.7,2014
"Census Tract 1011, Allegheny County, Pennsylvania",79.3,11.5,0.0,2.5,0.0,2.799999999999997,0.4,33.1,32.8,18.2,5.0,2014
"Census Tract 1014, Allegheny County, Pennsylvania",82.3,11.8,0.3,1.2,0.0,2.1000000000000085,0.4,25.1,28.5,24.0,13.4,2014
"Census Tract 1016, Allegheny County, Pennsylvania",0.4,98.9,0.0,0.0,0.0,0.7000000000000001,0.0,37.7,25.3,13.0,3.1,2014
"Census Tract 1017, Allegheny County, Pennsylvania",20.4,76.1,1.0,0.0,0.0,1.1000000000000014,0.0,46.099999999999994,22.1,15.0,6.0,2014
"Census Tract 1018, Allegheny County, Pennsylvania",74.9,23.1,0.3,1.7,0.0,0.0,0.0,21.7,30.9,23.6,16.6,2014
"Census Tract 103, Allegheny County, Pennsylvania",72.4,19.8,0.3,2.4,0.0,1.5,0.0,71.9,7.5,2.6,0.8,2014
"Census Tract 1102, Allegheny County, Pennsylvania",52.9,33.9,0.0,7.7,0.0,2.3999999999999986,0.6,23.4,34.5,15.7,14.2,2014
"Census Tract 1106, Allegheny County, Pennsylvania",81.2,14.3,0.0,1.5,0.0,0.7999999999999972,0.0,18.4,21.5,19.0,27.0,2014
"Census Tract 1113, Allegheny County, Pennsylvania",31.2,57.0,0.0,3.4,0.0,4.5000000000000036,2.1,31.7,38.3,17.3,7.7,2014
"Census Tract 1114, Allegheny County, Pennsylvania",12.9,73.4,0.0,0.0,0.0,1.1999999999999993,2.1,36.3,30.1,17.0,3.6,2014
"Census Tract 1115, Allegheny County, Pennsylvania",23.7,60.8,0.2,14.0,0.0,0.5,0.0,39.2,33.6,14.2,3.4000000000000004,2014
