,tract,total,male_percent,female_percent,disability_percent,male_disability_percent,female_disability_percent,year
0,"Census Tract 1005, Allegheny County, Pennsylvania",2278,0.45215100965759436,0.5478489903424056,0.19666374012291485,0.05179982440737489,0.14486391571553994,2013
1,"Census Tract 1011, Allegheny County, Pennsylvania",2945,0.500509337860781,0.499490662139219,0.14499151103565366,0.061799660441426145,0.0831918505942275,2013
2,"Census Tract 1014, Allegheny County, Pennsylvania",3466,0.44229659549913447,0.5577034045008655,0.1341604154645124,0.06231967686093479,0.0718407386035776,2013
3,"Census Tract 1016, Allegheny County, Pennsylvania",912,0.48135964912280704,0.518640350877193,0.12171052631578948,0.07675438596491228,0.044956140350877194,2013
4,"Census Tract 1017, Allegheny County, Pennsylvania",1378,0.4579100145137881,0.5420899854862119,0.17851959361393324,0.061683599419448475,0.11683599419448476,2013
5,"Census Tract 1018, Allegheny County, Pennsylvania",2784,0.46120689655172414,0.5387931034482759,0.1343390804597701,0.04058908045977012,0.09375,2013
6,"Census Tract 103, Allegheny County, Pennsylvania",4099,0.39887777506708955,0.6011222249329105,0.04928031227128568,0.012442059038789949,0.03683825323249573,2013
7,"Census Tract 1102, Allegheny County, Pennsylvania",4033,0.4423506074882222,0.5576493925117778,0.07537813042400199,0.026035209521448055,0.04934292090255393,2013
8,"Census Tract 1106, Allegheny County, Pennsylvania",2453,0.45128414186710153,0.5487158581328985,0.06359559722788423,0.015083571137382797,0.048512026090501426,2013
9,"Census Tract 1113, Allegheny County, Pennsylvania",2429,0.3981062165500206,0.6018937834499795,0.2066694112803623,0.08027995059695348,0.1263894606834088,2013
10,"Census Tract 1114, Allegheny County, Pennsylvania",1519,0.380513495720869,0.619486504279131,0.22580645161290322,0.07834101382488479,0.14746543778801843,2013
11,"Census Tract 1115, Allegheny County, Pennsylvania",3251,0.42417717625346046,0.5758228237465395,0.17471547216241157,0.07628422023992618,0.09843125192248539,2013
12,"Census Tract 1203, Allegheny County, Pennsylvania",1549,0.45190445448676564,0.5480955455132344,0.26404131697869593,0.10587475790832795,0.15816655907036797,2013
13,"Census Tract 1204, Allegheny County, Pennsylvania",732,0.4016393442622951,0.5983606557377049,0.2773224043715847,0.09972677595628415,0.17759562841530055,2013
14,"Census Tract 1207, Allegheny County, Pennsylvania",851,0.41245593419506466,0.5875440658049353,0.21621621621621623,0.06227967097532315,0.15393654524089306,2013
15,"Census Tract 1208, Allegheny County, Pennsylvania",713,0.4908835904628331,0.5091164095371669,0.13043478260869565,0.043478260869565216,0.08695652173913043,2013
16,"Census Tract 1301, Allegheny County, Pennsylvania",1960,0.37244897959183676,0.6275510204081632,0.16479591836734694,0.042346938775510205,0.12244897959183673,2013
17,"Census Tract 1302, Allegheny County, Pennsylvania",1472,0.405570652173913,0.5944293478260869,0.1637228260869565,0.06046195652173913,0.10326086956521739,2013
18,"Census Tract 1303, Allegheny County, Pennsylvania",1134,0.35185185185185186,0.6481481481481481,0.20811287477954143,0.04938271604938271,0.15873015873015872,2013
19,"Census Tract 1304, Allegheny County, Pennsylvania",1087,0.35050597976080955,0.6494940202391905,0.19319227230910763,0.07175712971481141,0.12143514259429623,2013
20,"Census Tract 1306, Allegheny County, Pennsylvania",3054,0.3428290766208251,0.6571709233791748,0.18467583497053044,0.08087753765553372,0.10379829731499672,2013
21,"Census Tract 1401, Allegheny County, Pennsylvania",5826,0.5700308959835222,0.42996910401647787,0.07106076210092688,0.03432887058015791,0.036731891520768965,2013
22,"Census Tract 1402, Allegheny County, Pennsylvania",2691,0.43403939056112967,0.5659606094388703,0.04050538833147529,0.021181716833890748,0.01932367149758454,2013
23,"Census Tract 1403, Allegheny County, Pennsylvania",3435,0.48034934497816595,0.519650655021834,0.0925764192139738,0.05007278020378457,0.04250363901018923,2013
24,"Census Tract 1404, Allegheny County, Pennsylvania",2314,0.4961106309420916,0.5038893690579084,0.0756266205704408,0.03111495246326707,0.044511668107173726,2013
25,"Census Tract 1405, Allegheny County, Pennsylvania",1938,0.45768833849329205,0.542311661506708,0.15841073271413827,0.0608875128998968,0.09752321981424149,2013
26,"Census Tract 1406, Allegheny County, Pennsylvania",3047,0.4876928126025599,0.5123071873974401,0.07154578273711848,0.021660649819494584,0.04988513291762389,2013
27,"Census Tract 1408, Allegheny County, Pennsylvania",4638,0.47477360931435963,0.5252263906856404,0.07158257869771453,0.023070288917636912,0.04851228978007762,2013
28,"Census Tract 1410, Allegheny County, Pennsylvania",915,0.46994535519125685,0.5300546448087432,0.11366120218579236,0.04918032786885246,0.06448087431693988,2013
29,"Census Tract 1411, Allegheny County, Pennsylvania",1328,0.4932228915662651,0.5067771084337349,0.10617469879518072,0.07379518072289157,0.03237951807228916,2013
30,"Census Tract 1413, Allegheny County, Pennsylvania",4842,0.5208591491119372,0.4791408508880628,0.05865344898802148,0.026848409748038,0.03180503923998348,2013
31,"Census Tract 1414, Allegheny County, Pennsylvania",5144,0.47414463452566097,0.5258553654743391,0.13063763608087092,0.05773716951788491,0.072900466562986,2013
32,"Census Tract 1516, Allegheny County, Pennsylvania",2587,0.4568998840355624,0.5431001159644375,0.1623502126014689,0.09083880943177426,0.07151140316969462,2013
33,"Census Tract 1517, Allegheny County, Pennsylvania",4783,0.5051223081747857,0.4948776918252143,0.10641856575371106,0.052895672172276816,0.05352289358143424,2013
34,"Census Tract 1608, Allegheny County, Pennsylvania",2627,0.5447278264179672,0.45527217358203276,0.19718309859154928,0.09135896459840122,0.10582413399314808,2013
35,"Census Tract 1609, Allegheny County, Pennsylvania",3261,0.4863538791781662,0.5136461208218338,0.11775528978840846,0.031585403250536645,0.08616988653787182,2013
36,"Census Tract 1702, Allegheny County, Pennsylvania",3707,0.6112759643916914,0.3887240356083086,0.06905853790126787,0.031022390072835176,0.0380361478284327,2013
37,"Census Tract 1706, Allegheny County, Pennsylvania",2005,0.47531172069825434,0.5246882793017457,0.1451371571072319,0.06932668329177058,0.07581047381546134,2013
38,"Census Tract 1803, Allegheny County, Pennsylvania",2638,0.4723275208491281,0.5276724791508719,0.1853677028051554,0.056103108415466264,0.12926459438968915,2013
39,"Census Tract 1807, Allegheny County, Pennsylvania",2355,0.48959660297239915,0.5104033970276008,0.1099787685774947,0.053927813163481955,0.05605095541401274,2013
40,"Census Tract 1903, Allegheny County, Pennsylvania",1984,0.5272177419354839,0.4727822580645161,0.11038306451612903,0.05090725806451613,0.059475806451612906,2013
41,"Census Tract 1911, Allegheny County, Pennsylvania",2440,0.534016393442623,0.46598360655737703,0.13442622950819672,0.0610655737704918,0.07336065573770492,2013
42,"Census Tract 1914, Allegheny County, Pennsylvania",2678,0.4566840926064227,0.5433159073935773,0.15235250186706498,0.0765496639283047,0.07580283793876028,2013
43,"Census Tract 1915, Allegheny County, Pennsylvania",2143,0.46243583761082596,0.537564162389174,0.20391973868408772,0.07139524031731218,0.13252449836677554,2013
44,"Census Tract 1916, Allegheny County, Pennsylvania",4443,0.5741616025208193,0.42583839747918073,0.1271663290569435,0.06144496961512492,0.06572135944181859,2013
45,"Census Tract 1917, Allegheny County, Pennsylvania",3584,0.4614955357142857,0.5385044642857143,0.11049107142857142,0.060825892857142856,0.04966517857142857,2013
46,"Census Tract 1918, Allegheny County, Pennsylvania",5128,0.46801872074882994,0.53198127925117,0.14235569422776911,0.058307332293291735,0.08404836193447737,2013
47,"Census Tract 1919, Allegheny County, Pennsylvania",2128,0.48120300751879697,0.518796992481203,0.11278195488721804,0.0700187969924812,0.04276315789473684,2013
48,"Census Tract 1920, Allegheny County, Pennsylvania",3470,0.46397694524495675,0.5360230547550432,0.16714697406340057,0.0685878962536023,0.09855907780979827,2013
49,"Census Tract 201, Allegheny County, Pennsylvania",3397,0.5045628495731528,0.4954371504268472,0.10420959670297321,0.04032970267883427,0.06387989402413895,2013
50,"Census Tract 2022, Allegheny County, Pennsylvania",2324,0.4780550774526678,0.5219449225473322,0.2099827882960413,0.07056798623063683,0.13941480206540446,2013
51,"Census Tract 2023, Allegheny County, Pennsylvania",4003,0.4701473894579066,0.5298526105420934,0.13639770172370722,0.06844866350237322,0.067949038221334,2013
52,"Census Tract 203, Allegheny County, Pennsylvania",682,0.5146627565982405,0.48533724340175954,0.04105571847507331,0.04105571847507331,0.0,2013
53,"Census Tract 2107, Allegheny County, Pennsylvania",1963,0.4915944982170148,0.5084055017829853,0.20020376974019358,0.09730005094243505,0.10290371879775853,2013
54,"Census Tract 2206, Allegheny County, Pennsylvania",1552,0.4735824742268041,0.5264175257731959,0.1797680412371134,0.06958762886597938,0.11018041237113402,2013
55,"Census Tract 2406, Allegheny County, Pennsylvania",2552,0.5066614420062696,0.4933385579937304,0.10932601880877743,0.045454545454545456,0.06387147335423198,2013
56,"Census Tract 2412, Allegheny County, Pennsylvania",805,0.5204968944099378,0.4795031055900621,0.2372670807453416,0.10434782608695652,0.13291925465838508,2013
57,"Census Tract 2503, Allegheny County, Pennsylvania",1318,0.5455235204855842,0.4544764795144158,0.09408194233687406,0.07814871016691957,0.015933232169954476,2013
58,"Census Tract 2507, Allegheny County, Pennsylvania",833,0.4129651860744298,0.5870348139255702,0.17647058823529413,0.03721488595438175,0.13925570228091236,2013
59,"Census Tract 2509, Allegheny County, Pennsylvania",1130,0.43628318584070797,0.5637168141592921,0.16371681415929204,0.06017699115044248,0.10353982300884956,2013
60,"Census Tract 2602, Allegheny County, Pennsylvania",2002,0.5304695304695305,0.4695304695304695,0.17582417582417584,0.09290709290709291,0.08291708291708291,2013
61,"Census Tract 2607, Allegheny County, Pennsylvania",1968,0.5096544715447154,0.49034552845528456,0.15701219512195122,0.05538617886178862,0.1016260162601626,2013
62,"Census Tract 2609, Allegheny County, Pennsylvania",1509,0.40092776673293573,0.5990722332670643,0.1756129887342611,0.09211398277004638,0.08349900596421471,2013
63,"Census Tract 2612, Allegheny County, Pennsylvania",1112,0.5431654676258992,0.4568345323741007,0.14118705035971224,0.0683453237410072,0.07284172661870504,2013
64,"Census Tract 2614, Allegheny County, Pennsylvania",1872,0.45085470085470086,0.5491452991452992,0.24305555555555555,0.10363247863247864,0.13942307692307693,2013
65,"Census Tract 2615, Allegheny County, Pennsylvania",1688,0.43424170616113744,0.5657582938388626,0.1226303317535545,0.043246445497630334,0.07938388625592417,2013
66,"Census Tract 2620, Allegheny County, Pennsylvania",2323,0.4662074903142488,0.5337925096857512,0.1894102453723633,0.0891089108910891,0.10030133448127422,2013
67,"Census Tract 2701, Allegheny County, Pennsylvania",2880,0.4496527777777778,0.5503472222222222,0.12708333333333333,0.08993055555555556,0.03715277777777778,2013
68,"Census Tract 2703, Allegheny County, Pennsylvania",2183,0.4516720109940449,0.5483279890059551,0.2043060009161704,0.11406321575813101,0.09024278515803939,2013
69,"Census Tract 2704, Allegheny County, Pennsylvania",910,0.5725274725274725,0.42747252747252745,0.2549450549450549,0.09340659340659341,0.16153846153846155,2013
70,"Census Tract 2708, Allegheny County, Pennsylvania",2811,0.5350409107079331,0.46495908929206686,0.10458911419423693,0.055140519388118106,0.049448594806118816,2013
71,"Census Tract 2715, Allegheny County, Pennsylvania",3248,0.5160098522167488,0.4839901477832512,0.1853448275862069,0.11083743842364532,0.07450738916256158,2013
